record_id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39413,42,Local-gov,209818,Bachelors,13,Divorced,Prof-specialty,Other-relative,White,Female,0,0,55,United-States,0
7878,37,Local-gov,51158,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,7298,0,36,United-States,1
34563,65,Private,146159,7th-8th,4,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,1668,31,United-States,0
45305,36,Private,298635,Bachelors,13,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,Iran,1
47265,50,Self-emp-not-inc,343242,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,0
22468,42,Self-emp-not-inc,175674,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
30265,32,Private,161075,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
16495,23,Private,53245,9th,5,Separated,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
23408,21,State-gov,299153,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,0
8649,31,Private,237824,HS-grad,9,Married-spouse-absent,Priv-house-serv,Other-relative,Black,Female,0,0,60,Jamaica,0
24059,19,Private,84610,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,0
21991,35,Private,434114,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0
38068,51,Private,194788,10th,6,Divorced,Adm-clerical,Other-relative,White,Female,0,0,30,United-States,0
37962,41,Self-emp-not-inc,201908,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
23963,29,Private,137063,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,38,United-States,0
2844,37,Self-emp-inc,186359,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7688,0,60,United-States,1
38514,20,Private,325033,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,1
1033,32,Private,206365,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
551,36,Self-emp-not-inc,27053,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,0
9742,64,Private,265661,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
26253,39,Self-emp-not-inc,195253,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
46680,41,Private,220109,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,1
42875,36,Private,178322,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,0,0,40,United-States,0
16589,34,Private,271933,Masters,14,Never-married,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,0
47353,36,Self-emp-not-inc,48585,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,4,United-States,0
42587,37,Private,178877,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,0
17936,29,Self-emp-inc,187450,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1
47080,26,Private,389856,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Mexico,0
36501,32,Private,280077,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,0
17371,31,Self-emp-not-inc,312055,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,0
4248,51,Private,302146,11th,7,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
27544,23,Private,228230,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,47,United-States,0
28487,45,Private,192323,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,66,Yugoslavia,0
37983,47,Self-emp-not-inc,178319,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,42,United-States,1
32403,48,Private,325372,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Portugal,0
22479,17,Private,184198,11th,7,Never-married,Sales,Own-child,White,Female,0,0,13,United-States,0
6873,73,Self-emp-not-inc,143833,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,18,United-States,0
31817,49,Private,402462,Bachelors,13,Married-spouse-absent,Transport-moving,Unmarried,White,Male,0,0,30,Columbia,0
8366,62,Private,121319,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,40,United-States,1
27006,32,Private,211751,Assoc-voc,11,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
17995,26,State-gov,126327,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
3614,23,Private,373550,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
47443,18,Private,145643,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,9,United-States,0
24774,51,Private,21698,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
24839,44,Private,227065,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
15362,46,Private,160647,Bachelors,13,Widowed,Tech-support,Unmarried,White,Female,0,0,38,United-States,0
32646,43,Private,170482,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,44,United-States,0
1147,46,Private,185041,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,0
9835,30,Private,103649,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,0
47386,45,Private,151817,Masters,14,Separated,Tech-support,Unmarried,White,Female,0,0,36,United-States,0
27417,60,Federal-gov,27466,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,England,0
7822,61,Private,213321,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
25062,35,Private,188041,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
47098,40,Private,132222,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
3336,33,Private,262439,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,1
30997,29,Private,107108,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
25117,30,Private,339773,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,0
22611,38,Private,111499,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,1
35661,33,Private,232356,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,1
17137,43,Self-emp-inc,151089,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
34693,39,Private,76417,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
21655,24,Private,117767,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,0
30347,39,Self-emp-not-inc,191342,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,South,0
11843,26,Private,283715,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
14787,37,Private,177285,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,48,United-States,1
25557,36,Self-emp-not-inc,224886,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2407,0,40,United-States,0
41865,55,Private,329797,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
41546,34,Self-emp-not-inc,151733,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,0
13251,44,Self-emp-not-inc,57233,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0
11679,32,Private,113688,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0
1463,39,Private,51100,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
33334,30,Private,127875,11th,7,Never-married,Sales,Unmarried,White,Female,0,0,8,United-States,0
15330,57,Private,61761,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,45,United-States,0
34139,48,Private,328581,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
8887,61,Self-emp-not-inc,115882,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,0
7192,44,Private,239876,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Male,0,0,40,United-States,0
18822,38,Private,52963,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,0
45197,47,Local-gov,101016,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,40,United-States,1
46027,58,Federal-gov,26947,Bachelors,13,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
2993,29,Private,100405,10th,6,Married-civ-spouse,Farming-fishing,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
32891,18,Private,228216,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0
46125,34,State-gov,49539,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
674,50,Self-emp-inc,219420,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1
31996,40,Self-emp-not-inc,170866,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,1
36980,44,Self-emp-not-inc,110028,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
10160,65,Private,183170,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,25,United-States,0
42753,30,Private,207172,11th,7,Never-married,Protective-serv,Not-in-family,White,Female,0,0,35,United-States,0
8248,23,Private,91189,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,0
44551,35,Private,28572,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
36345,60,Private,69955,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,4064,0,40,United-States,0
4948,60,Federal-gov,21876,Some-college,10,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
9994,34,Self-emp-not-inc,175697,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,75,United-States,0
42795,39,Private,57691,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7298,0,40,United-States,1
33220,37,Private,29430,HS-grad,9,Divorced,Sales,Unmarried,White,Male,0,0,45,United-States,0
16546,34,Private,70466,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
34719,26,Private,179864,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
46484,30,Self-emp-not-inc,173792,Some-college,10,Separated,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,0
40025,52,State-gov,206775,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
47198,31,State-gov,228446,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
10534,47,Private,340982,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,3103,0,40,Philippines,1
39875,40,Private,145441,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1485,40,United-States,1
12658,44,Private,172025,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
45324,42,Private,110318,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
43970,61,Private,149648,11th,7,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
19800,32,Self-emp-not-inc,443546,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
45101,44,Private,136986,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
38965,18,Private,198368,11th,7,Never-married,Other-service,Own-child,White,Male,594,0,10,United-States,0
14382,28,Self-emp-not-inc,278073,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,30,United-States,0
32288,21,Private,67804,9th,5,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,20,United-States,0
31808,53,Private,470368,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,48,United-States,0
2481,44,Self-emp-inc,153132,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,52,United-States,1
1587,28,Self-emp-not-inc,125442,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
38038,57,Private,337001,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
45740,62,Private,159474,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,0
29464,52,Local-gov,236497,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
35345,32,Self-emp-inc,206297,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,0
33448,36,Private,151764,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5178,0,40,United-States,1
13955,48,Federal-gov,188081,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
44555,59,Private,239405,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,35,Jamaica,0
14464,41,Local-gov,47858,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1
24245,32,Local-gov,186784,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,5013,0,45,United-States,0
23349,30,Private,289458,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
25316,40,Private,321856,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,1
9328,20,Private,120572,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,12,United-States,0
31760,25,Private,182866,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
20467,58,Private,104333,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
7405,55,Private,354923,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
32610,56,Self-emp-inc,131916,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0
34470,75,Private,233362,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
34011,42,Federal-gov,348059,Assoc-acdm,12,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,1
24914,58,Private,209438,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
35450,58,Private,168887,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
16132,47,Private,344916,Assoc-acdm,12,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,0
24141,41,State-gov,222434,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
12633,45,State-gov,110311,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
25030,43,Private,239161,Some-college,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
11756,36,Private,99872,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,India,0
22939,50,State-gov,24790,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
43109,23,Private,181659,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,60,United-States,0
18893,53,Local-gov,197054,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
20512,44,Private,151089,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,1
25143,50,Local-gov,96062,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
1856,44,State-gov,55076,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,0
9441,47,Private,217509,HS-grad,9,Widowed,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,0,0,45,Thailand,0
35133,33,Federal-gov,97654,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
17307,37,Private,239171,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
23497,60,State-gov,114060,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
4820,24,Private,341294,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
9372,58,Private,281792,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
20672,41,Local-gov,81054,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,25,United-States,0
21547,41,Self-emp-not-inc,38876,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,0
11789,26,Private,57600,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
13520,24,Private,500509,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,0
17495,21,Private,230248,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,0
1658,18,Private,214617,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,16,United-States,0
24471,51,Federal-gov,174102,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
21076,45,Federal-gov,235891,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,Columbia,0
20543,31,Private,136398,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,50,Thailand,1
10426,29,Private,351731,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
17848,40,Private,346847,Assoc-voc,11,Separated,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,0
47066,21,Private,177940,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
13814,23,Private,145389,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
47999,28,Private,336951,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
11308,55,Local-gov,84564,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,0
25016,30,Private,299223,Some-college,10,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
12691,21,Private,263641,HS-grad,9,Divorced,Sales,Other-relative,White,Female,0,0,40,United-States,0
12520,22,Private,243923,HS-grad,9,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,80,United-States,0
29295,51,Local-gov,153908,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
2472,30,Private,432565,Assoc-voc,11,Married-civ-spouse,Tech-support,Other-relative,White,Female,0,0,40,Canada,1
21143,53,Private,196763,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,0
1281,42,Federal-gov,158926,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,1
37504,53,State-gov,41021,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,46,United-States,1
21138,28,Private,185647,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
25312,33,Private,178429,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
30871,26,Private,160261,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,20,India,0
9567,65,Private,155261,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
41711,33,Local-gov,177695,HS-grad,9,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
20487,46,Private,57929,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,25,United-States,0
705,44,Private,63042,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Female,0,0,50,United-States,1
23424,56,State-gov,67662,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,0
30245,18,Private,251923,11th,7,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,0
24148,46,Private,185291,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,1
31733,41,Private,287306,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,1
22038,27,Private,198258,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,0
33580,48,Private,153254,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,48,United-States,0
11312,50,Private,77905,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,0
36366,58,Private,82050,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,1
34040,67,Local-gov,197816,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States,0
35146,51,State-gov,48358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,52,United-States,1
38742,42,Private,324421,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,20,United-States,0
13674,45,Federal-gov,60267,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
27604,46,Self-emp-inc,204928,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
20821,42,Private,196797,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,38,United-States,0
30767,49,Self-emp-inc,122066,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,25,United-States,0
10516,46,Private,24728,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,48,United-States,0
16086,53,Private,81794,12th,8,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
5268,22,State-gov,186569,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,12,United-States,0
18349,24,Private,450695,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,0
9090,31,Private,157078,10th,6,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
16392,57,Private,233382,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Cuba,0
11900,32,Private,236543,12th,8,Divorced,Protective-serv,Own-child,White,Male,0,0,54,Mexico,0
18892,32,Private,231413,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
4349,53,Private,114758,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States,1
40162,45,Federal-gov,187510,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
4281,64,Federal-gov,199298,7th-8th,4,Widowed,Other-service,Unmarried,White,Female,0,0,30,Puerto-Rico,0
8258,35,Private,1226583,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,1
37474,36,Private,34364,Assoc-acdm,12,Separated,Tech-support,Not-in-family,White,Female,0,0,3,United-States,0
36797,33,Private,183017,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,32,United-States,0
27054,28,Private,297742,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0
24552,51,Local-gov,143865,10th,6,Widowed,Other-service,Not-in-family,White,Female,0,0,24,United-States,0
28128,30,Private,200192,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,45,United-States,0
47396,40,Federal-gov,190910,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
26128,44,Federal-gov,251305,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
41575,20,Private,72055,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
47090,18,Private,41506,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
26062,23,Private,478994,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
42281,47,Private,44671,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38,United-States,0
2824,39,Private,548510,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,30,United-States,0
33825,39,Private,127573,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
26727,65,Private,113323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
