Features;Accuracy;F1 Score 0;F1 Score 1
('fnlwgt', 'relationship');0.7532338308457711;0.851792828685259;0.2633663366336634
('fnlwgt', 'race');0.7557766721945827;0.8609029658081985;0.0
('fnlwgt', 'sex');0.7562189054726368;0.8611898016997167;0.0
('fnlwgt', 'capital-gain');0.8068546158098396;0.8866982294571633;0.34593785099213775
('fnlwgt', 'capital-loss');0.7771144278606965;0.8713957642255677;0.16487158243579123
('fnlwgt', 'hours-per-week');0.7547816473189608;0.8586000255004462;0.07737104825291181
('fnlwgt', 'native-country');0.7550027639579878;0.860118671884863;0.014234875444839857
('education', 'education-num');0.775787728026534;0.8657487091222031;0.3203753351206434
('education', 'marital-status');0.8163626312880045;0.88504394767804;0.5438066465256798
('education', 'occupation');0.7807628524046435;0.8678440519826724;0.35721231766612643
('education', 'relationship');0.8173576561636263;0.8852299569264972;0.553030303030303
('education', 'race');0.7754560530679934;0.8661261617559818;0.30421377183967113
('education', 'sex');0.7803206191265892;0.8604928736923401;0.48349363140109175
('education', 'capital-gain');0.812824765063571;0.8887282287216562;0.4111304347826087
('education', 'capital-loss');0.7924820342730791;0.8745572411949475;0.3997441637352095
('education', 'hours-per-week');0.7807628524046435;0.8643731618904316;0.4283655232055347
('education', 'native-country');0.7750138197899392;0.8653298921315598;0.31688486069150723
('education-num', 'marital-status');0.8164731896075179;0.885121107266436;0.5439560439560439
('education-num', 'occupation');0.7806522940851299;0.8677685950413223;0.3570965651328581
('education-num', 'relationship');0.8173576561636263;0.8852299569264972;0.553030303030303
('education-num', 'race');0.7755666113875069;0.8661832564271589;0.3047945205479452
('education-num', 'sex');0.7803206191265892;0.8604928736923401;0.48349363140109175
('education-num', 'capital-gain');0.8130458817025982;0.888859677949392;0.41182608695652173
('education-num', 'capital-loss');0.7923714759535655;0.8744820211201711;0.39961636828644503
('education-num', 'hours-per-week');0.7805417357656164;0.8643847783015646;0.42513756154068927
('education-num', 'native-country');0.7752349364289662;0.8654266234196069;0.3184713375796178
('marital-status', 'occupation');0.8113875069098949;0.8778112018335482;0.5867248062015504
('marital-status', 'relationship');0.7562189054726368;0.8611898016997167;0.0
('marital-status', 'race');0.7562189054726368;0.8611898016997167;0.0
('marital-status', 'sex');0.7562189054726368;0.8611898016997167;0.0
('marital-status', 'capital-gain');0.8069651741293532;0.8867704280155642;0.34606741573033706
('marital-status', 'capital-loss');0.7771144278606965;0.8713957642255677;0.16487158243579123
('marital-status', 'hours-per-week');0.7762299613045882;0.860124395300622;0.4408839779005525
('marital-status', 'native-country');0.7579878385848535;0.8610070480665439;0.06492951730029901
('occupation', 'relationship');0.8145936981757878;0.8805810724204229;0.5856189770200149
('occupation', 'race');0.7562189054726368;0.8611898016997167;0.0
('occupation', 'sex');0.7795467108899945;0.8604032483898068;0.47609038360483447
('occupation', 'capital-gain');0.806522940851299;0.8865110246433203;0.3445692883895131
('occupation', 'capital-loss');0.7766721945826424;0.8711241546510144;0.16390728476821192
('occupation', 'hours-per-week');0.7772249861802101;0.8649192196822417;0.36495430192247086
('occupation', 'native-country');0.7583195135433941;0.861628054184074;0.0462478184991274
('relationship', 'race');0.7574350469872858;0.8576987936178493;0.17889221556886228
('relationship', 'sex');0.7562189054726368;0.8611898016997167;0.0
('relationship', 'capital-gain');0.8069651741293532;0.8867704280155642;0.34606741573033706
('relationship', 'capital-loss');0.7771144278606965;0.8713957642255677;0.16487158243579123
('relationship', 'hours-per-week');0.777003869541183;0.8607332734930608;0.44080953701136677
('relationship', 'native-country');0.7580983969043671;0.8612731422774537;0.056082830025884385
('race', 'sex');0.7562189054726368;0.8611898016997167;0.0
('race', 'capital-gain');0.8069651741293532;0.8867704280155642;0.34606741573033706
('race', 'capital-loss');0.7768933112216694;0.8712024508552464;0.16680429397192403
('race', 'hours-per-week');0.7561083471531233;0.8610306161018016;0.004512635379061372
('race', 'native-country');0.7555555555555555;0.8606717499527381;0.004502476361999099
('sex', 'capital-gain');0.8069651741293532;0.8867704280155642;0.34606741573033706
('sex', 'capital-loss');0.7773355444997236;0.8715233477928043;0.16570008285004142
('sex', 'hours-per-week');0.755444997236042;0.8592517179944006;0.06823925863521482
('sex', 'native-country');0.7562189054726368;0.8610673555541554;0.006309148264984227
('capital-gain', 'capital-loss');0.8277501381978994;0.8975539189900053;0.4594031922276197
('capital-gain', 'hours-per-week');0.8068546158098396;0.8866982294571633;0.34593785099213775
('capital-gain', 'native-country');0.8070757324488668;0.8868426172102977;0.3461970775571375
('capital-loss', 'hours-per-week');0.7761194029850746;0.8708463549971299;0.16009954375777685
('capital-loss', 'native-country');0.7768933112216694;0.8711860079152305;0.1674917491749175
('hours-per-week', 'native-country');0.7556661138750691;0.8604092976250631;0.021257750221434897
('age', 'workclass', 'fnlwgt');0.760309563294638;0.8606325533556184;0.14443567482241515
('age', 'workclass', 'education');0.789828634604754;0.8693380988384082;0.4631460039536854
('age', 'workclass', 'education-num');0.7902708678828082;0.8696309531990929;0.46397287369313367
('age', 'workclass', 'marital-status');0.789828634604754;0.8652633071089375;0.5224817884953529
('age', 'workclass', 'occupation');0.7878385848535102;0.8670960592838839;0.47439057792385647
('age', 'workclass', 'relationship');0.7912658927584301;0.865928135208067;0.5289421157684631
('age', 'workclass', 'race');0.760309563294638;0.8602372356884992;0.1590380139643134
('age', 'workclass', 'sex');0.7672747374239911;0.863160631866346;0.22238640561507203
('age', 'workclass', 'capital-gain');0.8088446655610835;0.8866601114388725;0.39012345679012345
('age', 'workclass', 'capital-loss');0.780873410724157;0.8712318087318087;0.2653817642698295
('age', 'workclass', 'hours-per-week');0.7715865118850194;0.8625415834996674;0.32483660130718955
('age', 'workclass', 'native-country');0.7626312880044224;0.8615642530143788;0.16815187911662147
('age', 'fnlwgt', 'education');0.7873963515754561;0.867844134423751;0.45662616558349817
('age', 'fnlwgt', 'education-num');0.7878385848535102;0.8679375129034478;0.46080359651587527
('age', 'fnlwgt', 'marital-status');0.7737976782752902;0.8536690030038621;0.5019474196689386
('age', 'fnlwgt', 'occupation');0.7800995024875622;0.8621526093284357;0.4567058180824911
('age', 'fnlwgt', 'relationship');0.7747927031509121;0.8540517303145375;0.507137672392935
('age', 'fnlwgt', 'race');0.7557766721945827;0.8606572888412288;0.012516763522574878
('age', 'fnlwgt', 'sex');0.7574350469872858;0.8580119078436448;0.1683093252463988
('age', 'fnlwgt', 'capital-gain');0.8067440574903262;0.8866407263294422;0.3453183520599251
('age', 'fnlwgt', 'capital-loss');0.777003869541183;0.8712087350743886;0.1696171263894607
('age', 'fnlwgt', 'hours-per-week');0.7679380873410724;0.8603366824139996;0.3142763802678863
('age', 'fnlwgt', 'native-country');0.7563294637921504;0.860506329113924;0.03755458515283843
('age', 'education', 'education-num');0.7891652846876728;0.867982000692281;0.47681755829903977
('age', 'education', 'marital-status');0.8215588723051409;0.8858880090497737;0.5909782057780031
('age', 'education', 'occupation');0.7959093421779989;0.8721075239018983;0.4950765864332604
('age', 'education', 'relationship');0.8212271973466003;0.8855221238938054;0.5921815889029004
('age', 'education', 'race');0.7886124930901051;0.8682651233291994;0.465324384787472
('age', 'education', 'sex');0.8011055831951355;0.8756480265431672;0.5034501794093292
('age', 'education', 'capital-gain');0.8220011055831952;0.8890267438654536;0.5505304299274149
('age', 'education', 'capital-loss');0.8045328911000553;0.8773925104022191;0.5182561307901907
('age', 'education', 'hours-per-week');0.7955776672194582;0.8728248160121054;0.479301605181639
('age', 'education', 'native-country');0.7906025428413488;0.8692169589835658;0.4750554323725055
('age', 'education-num', 'marital-status');0.821779988944168;0.8853158793397837;0.6003966286564204
('age', 'education-num', 'occupation');0.7952459922609176;0.8715494520737966;0.49564270152505446
('age', 'education-num', 'relationship');0.822996130458817;0.8866388161155562;0.5964204688681624
('age', 'education-num', 'race');0.7893864013266998;0.8688648723067391;0.4653381981476284
('age', 'education-num', 'sex');0.8011055831951355;0.8752686680995632;0.5094082356149441
('age', 'education-num', 'capital-gain');0.821779988944168;0.8889654222344675;0.5487122060470325
('age', 'education-num', 'capital-loss');0.8040906578220011;0.8771491957848031;0.5166393889798145
('age', 'education-num', 'hours-per-week');0.7954671088999448;0.8730441943453198;0.47413303013075614
('age', 'education-num', 'native-country');0.7897180762852405;0.8688456764584195;0.4698996655518395
('age', 'marital-status', 'occupation');0.821779988944168;0.8849229011993147;0.6050955414012739
('age', 'marital-status', 'relationship');0.7814262023217247;0.8576571387428901;0.5293977624375149
('age', 'marital-status', 'race');0.7806522940851299;0.8563567911960615;0.5362318840579711
('age', 'marital-status', 'sex');0.7799889441680486;0.8568963037537753;0.5243785850860421
('age', 'marital-status', 'capital-gain');0.8127142067440575;0.8848245852597226;0.4991129509166174
('age', 'marital-status', 'capital-loss');0.7909342177998895;0.8666337541434516;0.5164919457939146
('age', 'marital-status', 'hours-per-week');0.789828634604754;0.8656632040138507;0.5173902005585174
('age', 'marital-status', 'native-country');0.7841901603095633;0.8564494778643919;0.5654496883348175
('age', 'occupation', 'relationship');0.8223327805417358;0.8855168483294151;0.6035035775968418
('age', 'occupation', 'race');0.7841901603095633;0.865118850193477;0.46047540077390825
('age', 'occupation', 'sex');0.8025428413488115;0.8748949285514149;0.5317252228631358
('age', 'occupation', 'capital-gain');0.8139303482587065;0.8840030326004549;0.5300195476123988
('age', 'occupation', 'capital-loss');0.7961304588170259;0.872175239151532;0.49672489082969434
('age', 'occupation', 'hours-per-week');0.7907131011608624;0.8681111962655891;0.4934439389884934
('age', 'occupation', 'native-country');0.7796572692095081;0.8623143350604491;0.44868603042876903
('age', 'relationship', 'race');0.7823106688778331;0.8580696316586175;0.5330803889020631
('age', 'relationship', 'sex');0.7806522940851299;0.8574507831584998;0.5244487056567594
('age', 'relationship', 'capital-gain');0.8144831398562742;0.8851628798248016;0.5175388154111559
('age', 'relationship', 'capital-loss');0.7930348258706468;0.8677031802120141;0.5248730964467005
('age', 'relationship', 'hours-per-week');0.7932559425096739;0.8676199915050262;0.5282542885973764
('age', 'relationship', 'native-country');0.7847429519071311;0.8563629656953153;0.5706725468577729
('age', 'race', 'sex');0.7594250967385295;0.8588296353963929;0.18684603886397608
('age', 'race', 'capital-gain');0.8067440574903262;0.8866407263294422;0.3453183520599251
('age', 'race', 'capital-loss');0.7771144278606965;0.8713793543447748;0.16556291390728478
('age', 'race', 'hours-per-week');0.7672747374239911;0.8593196551493685;0.3268308282699073
('age', 'race', 'native-country');0.7568822553897181;0.861007521648442;0.030850594975760245
('age', 'sex', 'capital-gain');0.8069651741293532;0.8867704280155642;0.34606741573033706
('age', 'sex', 'capital-loss');0.7774461028192371;0.8715625598162445;0.16714935870914358
('age', 'sex', 'hours-per-week');0.7736871199557767;0.8617919114171899;0.37572430619091185
('age', 'sex', 'native-country');0.7625207296849088;0.8599374021909233;0.22004357298474944
('age', 'capital-gain', 'capital-loss');0.8270867882808182;0.8971593897948448;0.4573213046495489
('age', 'capital-gain', 'hours-per-week');0.8071862907683803;0.8856843209229156;0.38461538461538464
('age', 'capital-gain', 'native-country');0.8075179657269209;0.8868672428357918;0.35542391706775267
('age', 'capital-loss', 'hours-per-week');0.7826423438363737;0.8704874835309618;0.3243986254295533
('age', 'capital-loss', 'native-country');0.7774461028192371;0.8712174524982407;0.18137454249694998
('age', 'hours-per-week', 'native-country');0.7638474295190714;0.8576569372251099;0.30739299610894943
('workclass', 'fnlwgt', 'education');0.7761194029850746;0.8651887357699221;0.34017595307917886
('workclass', 'fnlwgt', 'education-num');0.7753454947484798;0.8648037258815702;0.3359477124183007
('workclass', 'fnlwgt', 'marital-status');0.7712548369264787;0.8624609452901681;0.3209714473252379
('workclass', 'fnlwgt', 'occupation');0.7592039800995025;0.8567670656319873;0.2447988904299584
('workclass', 'fnlwgt', 'relationship');0.7699281370923162;0.8607933641046224;0.33747214262973574
('workclass', 'fnlwgt', 'race');0.756440022111664;0.8585735379084548;0.12335853561480302
('workclass', 'fnlwgt', 'sex');0.7577667219458264;0.8591087389878465;0.13706183536825522
('workclass', 'fnlwgt', 'capital-gain');0.8064123825317855;0.8856377767618052;0.36991723641597696
('workclass', 'fnlwgt', 'capital-loss');0.7768933112216694;0.8695033626487325;0.23153084539223154
('workclass', 'fnlwgt', 'hours-per-week');0.7606412382531785;0.860096930533118;0.17208413001912046
('workclass', 'fnlwgt', 'native-country');0.7579878385848535;0.8595264069819676;0.1268448344635022
('workclass', 'education', 'education-num');0.7754560530679934;0.8645187112267361;0.34462729912875123
('workclass', 'education', 'marital-status');0.820563847429519;0.8863684099978996;0.5736800630417652
('workclass', 'education', 'occupation');0.7816473189607518;0.8662196030617083;0.4063721070033063
('workclass', 'education', 'relationship');0.8192371475953566;0.8854319949548034;0.5718774548311076
('workclass', 'education', 'race');0.7755666113875069;0.8650624833820793;0.3335521996060407
('workclass', 'education', 'sex');0.7846323935876175;0.8652089676169389;0.4645409565695437
('workclass', 'education', 'capital-gain');0.8163626312880045;0.8883511460643947;0.48303765950824773
('workclass', 'education', 'capital-loss');0.7920398009950249;0.873936063266537;0.40643736194383084
('workclass', 'education', 'hours-per-week');0.7845218352681039;0.8687630462595112;0.39827107131830813
('workclass', 'education', 'native-country');0.7754560530679934;0.8649870371601409;0.3334427305546439
('workclass', 'education-num', 'marital-status');0.8195688225538972;0.8858262207919406;0.5700737618545838
('workclass', 'education-num', 'occupation');0.7813156440022112;0.8660798916723087;0.4042168674698795
('workclass', 'education-num', 'relationship');0.8208955223880597;0.8862679022746419;0.5787831513260531
('workclass', 'education-num', 'race');0.7764510779436152;0.8654869611495476;0.33878351863963374
('workclass', 'education-num', 'sex');0.7845218352681039;0.8648311255981691;0.46908199400708256
('workclass', 'education-num', 'capital-gain');0.8162520729684909;0.888291437021105;0.4825653798256538
('workclass', 'education-num', 'capital-loss');0.7921503593145384;0.873977745006033;0.4073139974779319
('workclass', 'education-num', 'hours-per-week');0.7852957435046988;0.8683211282885815;0.4189108318372232
('workclass', 'education-num', 'native-country');0.7753454947484798;0.8648576749135408;0.3346430910281598
('workclass', 'marital-status', 'occupation');0.8218905472636816;0.8849860783893767;0.6054371785451874
('workclass', 'marital-status', 'relationship');0.7713653952459922;0.8649601671672978;0.25504322766570603
('workclass', 'marital-status', 'race');0.7716970702045329;0.8633626679018064;0.30634867316090025
('workclass', 'marital-status', 'sex');0.7715865118850194;0.8649849692850607;0.25896700143472023
('workclass', 'marital-status', 'capital-gain');0.8139303482587065;0.8887860966100575;0.4308420696652012
('workclass', 'marital-status', 'capital-loss');0.7876174682144831;0.8749104642833887;0.2971094035858031
('workclass', 'marital-status', 'hours-per-week');0.7856274184632394;0.8659893565553943;0.4645125655896161
('workclass', 'marital-status', 'native-country');0.7721393034825871;0.8625908393892926;0.33322549336784213
('workclass', 'occupation', 'relationship');0.824433388612493;0.887135749822317;0.6049751243781094
('workclass', 'occupation', 'race');0.7632946379215035;0.8614149783157486;0.18932222642938282
('workclass', 'occupation', 'sex');0.7845218352681039;0.8653726600815086;0.4605590921671741
('workclass', 'occupation', 'capital-gain');0.8078496406854616;0.8855223290739033;0.4023383768913342
('workclass', 'occupation', 'capital-loss');0.7806522940851299;0.8700720366732154;0.29645390070921984
('workclass', 'occupation', 'hours-per-week');0.7818684355997789;0.86711120091601;0.3916127042861548
('workclass', 'occupation', 'native-country');0.7624101713653952;0.8604454834729528;0.2014121144555927
('workclass', 'relationship', 'race');0.7723604201216141;0.8650455528609818;0.27320861277797387
('workclass', 'relationship', 'sex');0.7715865118850194;0.865108383389919;0.25522710886806055
('workclass', 'relationship', 'capital-gain');0.8156992813709232;0.8894195688225539;0.4470978441127695
('workclass', 'relationship', 'capital-loss');0.7902708678828082;0.8759563198849146;0.32177332856632107
('workclass', 'relationship', 'hours-per-week');0.7870646766169154;0.8667496886674969;0.47029702970297027
('workclass', 'relationship', 'native-country');0.7712548369264787;0.8640515145541757;0.27934517589690006
('workclass', 'race', 'sex');0.7609729132117192;0.8601552393272962;0.1779467680608365
('workclass', 'race', 'capital-gain');0.8067440574903262;0.8866407263294422;0.3453183520599251
('workclass', 'race', 'capital-loss');0.7773355444997236;0.8691868017666926;0.2524127691165553
('workclass', 'race', 'hours-per-week');0.7611940298507462;0.8606091894682498;0.16730917501927525
('workclass', 'race', 'native-country');0.7586511885019348;0.8595870585965137;0.1415650806134487
('workclass', 'sex', 'capital-gain');0.8078496406854616;0.8855826201448321;0.4006896551724138
('workclass', 'sex', 'capital-loss');0.7805417357656164;0.8712627278033594;0.25683264694870833
('workclass', 'sex', 'hours-per-week');0.7646213377556661;0.862245228081527;0.19203036053130929
('workclass', 'sex', 'native-country');0.7606412382531785;0.8607806571924635;0.14730208743599843
('workclass', 'capital-gain', 'capital-loss');0.8269762299613046;0.8971544982585267;0.4552732335537765
('workclass', 'capital-gain', 'hours-per-week');0.8085129906025429;0.8861574865255686;0.39777468706536856
('workclass', 'capital-gain', 'native-country');0.8075179657269209;0.8868819439932428;0.35494627639866616
('workclass', 'capital-loss', 'hours-per-week');0.7802100608070758;0.8711266692596914;0.25375375375375375
('workclass', 'capital-loss', 'native-country');0.7781094527363184;0.8694124536404451;0.2624035281146637
('workclass', 'hours-per-week', 'native-country');0.7622996130458817;0.8617718914748618;0.15220820189274448
('fnlwgt', 'education', 'education-num');0.7729132117191818;0.8642073251355282;0.30701754385964913
('fnlwgt', 'education', 'marital-status');0.8169154228855722;0.8844866071428571;0.5588705380927012
('fnlwgt', 'education', 'occupation');0.7798783858485351;0.8663309835515274;0.37683881064162755
('fnlwgt', 'education', 'relationship');0.8147042564953013;0.883189294675216;0.5521111704970604
('fnlwgt', 'education', 'race');0.7716970702045329;0.8630545792161284;0.31418133510461643
('fnlwgt', 'education', 'sex');0.7795467108899945;0.8627099972459378;0.44083006169377453
('fnlwgt', 'education', 'capital-gain');0.8143725815367606;0.8885644122917634;0.44459146543169037
('fnlwgt', 'education', 'capital-loss');0.7918186843559978;0.8748920337519102;0.38038828562026983
('fnlwgt', 'education', 'hours-per-week');0.7798783858485351;0.8658626962204407;0.38681860178626426
('fnlwgt', 'education', 'native-country');0.7722498618021006;0.8633771057169386;0.3160690571049137
('fnlwgt', 'education-num', 'marital-status');0.8148148148148148;0.8832345765074939;0.5527369826435247
('fnlwgt', 'education-num', 'occupation');0.7803206191265892;0.8664740272831127;0.38080398878155186
('fnlwgt', 'education-num', 'relationship');0.8153676064123825;0.8836074714245888;0.5537145911277391
('fnlwgt', 'education-num', 'race');0.7734660033167496;0.8641516939600875;0.3185899567675424
('fnlwgt', 'education-num', 'sex');0.7831951354339414;0.8651770367823994;0.4468265162200282
('fnlwgt', 'education-num', 'capital-gain');0.814262023217247;0.8883572567783095;0.4477317554240631
('fnlwgt', 'education-num', 'capital-loss');0.7920398009950249;0.8753065959562479;0.3740432612312812
('fnlwgt', 'education-num', 'hours-per-week');0.7813156440022112;0.8667834051724138;0.38988278840222085
('fnlwgt', 'education-num', 'native-country');0.7731343283582089;0.8639437740352738;0.3178191489361702
('fnlwgt', 'marital-status', 'occupation');0.8112769485903815;0.8786866605074266;0.5752674794725056
('fnlwgt', 'marital-status', 'relationship');0.7498065229408513;0.8495245694527561;0.2582759750901344
('fnlwgt', 'marital-status', 'race');0.7517965726920951;0.8509988717063782;0.25736023817399933
('fnlwgt', 'marital-status', 'sex');0.7512437810945274;0.8503392310762272;0.2637434554973822
('fnlwgt', 'marital-status', 'capital-gain');0.8054173576561636;0.8854464983077324;0.35436537050623623
('fnlwgt', 'marital-status', 'capital-loss');0.7745715865118851;0.8676919083771332;0.23889511011571482
('fnlwgt', 'marital-status', 'hours-per-week');0.7749032614704257;0.8602608098833219;0.42159090909090907
('fnlwgt', 'marital-status', 'native-country');0.7541182974018795;0.8528516607119228;0.25268817204301075
('fnlwgt', 'occupation', 'relationship');0.815257048092869;0.8811437513336653;0.5854626643512776
('fnlwgt', 'occupation', 'race');0.7517965726920951;0.8520982936952368;0.22878735829611818
('fnlwgt', 'occupation', 'sex');0.777003869541183;0.860231446192225;0.44875649084449304
('fnlwgt', 'occupation', 'capital-gain');0.8060807075732449;0.8860595037027413;0.34940652818991097
('fnlwgt', 'occupation', 'capital-loss');0.7739082365948038;0.8672508925673482;0.2383612662942272
('fnlwgt', 'occupation', 'hours-per-week');0.7732448866777225;0.8623767026773133;0.356448070285535
('fnlwgt', 'occupation', 'native-country');0.7531232725262575;0.8542713567839196;0.1929887965305385
('fnlwgt', 'relationship', 'race');0.7514648977335544;0.8489653319000269;0.29881472239550844
('fnlwgt', 'relationship', 'sex');0.7533443891652847;0.8511376526322814;0.2810183693200129
('fnlwgt', 'relationship', 'capital-gain');0.8056384742951908;0.8853677621283255;0.3616557734204793
('fnlwgt', 'relationship', 'capital-loss');0.7750138197899392;0.8684295597077649;0.22417079679756005
('fnlwgt', 'relationship', 'hours-per-week');0.7749032614704257;0.85896370185647;0.4428024083196497
('fnlwgt', 'relationship', 'native-country');0.7525704809286898;0.8487837837837838;0.31975683890577505
('fnlwgt', 'race', 'sex');0.7550027639579878;0.860383064516129;0.0009017132551848512
('fnlwgt', 'race', 'capital-gain');0.8069651741293532;0.8867704280155642;0.34606741573033706
('fnlwgt', 'race', 'capital-loss');0.7773355444997236;0.8715233477928043;0.16570008285004142
('fnlwgt', 'race', 'hours-per-week');0.7541182974018795;0.8580727504786215;0.08099173553719008
('fnlwgt', 'race', 'native-country');0.7550027639579878;0.860118671884863;0.014234875444839857
('fnlwgt', 'sex', 'capital-gain');0.8068546158098396;0.8866982294571633;0.34593785099213775
('fnlwgt', 'sex', 'capital-loss');0.7773355444997236;0.8715233477928043;0.16570008285004142
('fnlwgt', 'sex', 'hours-per-week');0.7550027639579878;0.8567735263702172;0.15355233002291827
('fnlwgt', 'sex', 'native-country');0.7551133222775014;0.8601199873697506;0.017738359201773836
('fnlwgt', 'capital-gain', 'capital-loss');0.8274184632393587;0.897390389798199;0.45742092457420924
('fnlwgt', 'capital-gain', 'hours-per-week');0.8068546158098396;0.8866982294571633;0.34593785099213775
('fnlwgt', 'capital-gain', 'native-country');0.8055279159756772;0.8857718033638547;0.3463396506874768
('fnlwgt', 'capital-loss', 'hours-per-week');0.7746821448313985;0.8695930381366778;0.17221770917952883
('fnlwgt', 'capital-loss', 'native-country');0.7758982863460475;0.8704875087853812;0.16892168921689216
('fnlwgt', 'hours-per-week', 'native-country');0.7547816473189608;0.8591924834941594;0.05132591958939264
('education', 'education-num', 'marital-status');0.8163626312880045;0.88504394767804;0.5438066465256798
('education', 'education-num', 'occupation');0.7807628524046435;0.8678440519826724;0.35721231766612643
('education', 'education-num', 'relationship');0.8173576561636263;0.8852140077821011;0.5532720389399676
('education', 'education-num', 'race');0.7754560530679934;0.8661261617559818;0.30421377183967113
('education', 'education-num', 'sex');0.7803206191265892;0.8604928736923401;0.48349363140109175
('education', 'education-num', 'capital-gain');0.8129353233830846;0.888801261829653;0.4112734864300626
('education', 'education-num', 'capital-loss');0.7920398009950249;0.8743067156698964;0.39808
('education', 'education-num', 'hours-per-week');0.780873410724157;0.8644878982633666;0.42782909930715934
('education', 'education-num', 'native-country');0.7741293532338308;0.8647288618155333;0.3160361566789421
('education', 'marital-status', 'occupation');0.8238805970149253;0.8883750262770653;0.5828750981932443
('education', 'marital-status', 'relationship');0.8176893311221669;0.8853985683508235;0.5544447446636044
('education', 'marital-status', 'race');0.8159203980099502;0.8848468082163359;0.5414486367391903
('education', 'marital-status', 'sex');0.8165837479270315;0.8847836655323287;0.5505283121105391
('education', 'marital-status', 'capital-gain');0.8465450525152017;0.9034098816979819;0.6268817204301075
('education', 'marital-status', 'capital-loss');0.8270867882808182;0.8910711798300599;0.5809217577706324
('education', 'marital-status', 'hours-per-week');0.8169154228855722;0.8844543678481719;0.5593400745077168
('education', 'marital-status', 'native-country');0.8174682144831399;0.8857202187305323;0.5468020861926983
('education', 'occupation', 'relationship');0.8237700386954119;0.8869343169243864;0.6007014028056112
('education', 'occupation', 'race');0.7803206191265892;0.8678241202687421;0.3500163559044815
('education', 'occupation', 'sex');0.7925925925925926;0.8727445394112061;0.43966547192353644
('education', 'occupation', 'capital-gain');0.8174682144831399;0.8907129145429271;0.4465303385853168
('education', 'occupation', 'capital-loss');0.7967938087341072;0.8767435622317596;0.42164883574575207
('education', 'occupation', 'hours-per-week');0.7856274184632394;0.8694715583978458;0.4006182380216383
('education', 'occupation', 'native-country');0.7816473189607518;0.8683596614010531;0.3602202785876255
('education', 'relationship', 'race');0.8172470978441128;0.8852959544792173;0.5506931231312857
('education', 'relationship', 'sex');0.8180210060807076;0.8857579122709606;0.5529603476371537
('education', 'relationship', 'capital-gain');0.846987285793256;0.9036614228038424;0.6283566058002148
('education', 'relationship', 'capital-loss');0.8267551133222775;0.8913390194854726;0.5729081493594985
